dark_percentile,iou_slick,precision,recall,pixel_accuracy,tp,fp,fn,tn
5,0.17201399677229595,0.6958413159404006,0.1859990638643483,0.9801675216763006,342141,149553,1497336,81050970
10,0.26419831656649717,0.6297132125361705,0.3127921686435871,0.9807028299614644,575374,338334,1264103,80862189
15,0.29217590999383275,0.5743252803151883,0.3729364379114279,0.9799865125240848,686008,508451,1153469,80692072
20,0.2907677676261159,0.5158568476209641,0.3998962748650837,0.9783928949903661,735600,690377,1103877,80510146
25,0.2865651811198733,0.46642051584615707,0.42632661348850764,0.9764884995183044,784218,897136,1055259,80303387
30,0.2754295436936959,0.42086505174246824,0.443530960158784,0.9741535404624277,815865,1122678,1023612,80077845
35,0.26313133369609604,0.3782227588283205,0.463727461664375,0.9712334778420039,853016,1402311,986461,79798212
40,0.24090896569493986,0.33043426820169025,0.47067128319625606,0.9671477119460501,865789,1754366,973688,79446157
45,0.22145599795241636,0.2887279166967294,0.48730535907760714,0.962050686416185,896387,2208221,943090,78992302
50,0.1730939468064734,0.21024827948778002,0.49482216956232644,0.9476362837186898,910214,3419020,929263,77781503
60,0.09049922789214057,0.09787434291440648,0.5456621637563283,0.8785243978805395,1003733,9251590,835744,71948933
70,0.04107262831895919,0.04226071709503777,0.5936556967007467,0.6929741931599229,1092016,24747962,747461,56452561
80,0.025172584534781692,0.025326591555295645,0.8054343707477719,0.309065137283237,1481578,57017332,357899,24183191
