tile_id,benchmark_id,method,n_detected,status
IMG_01_TILE_001,BASELINE_CLASSICAL,felzenszwalb,45,ok
IMG_01_TILE_002,BASELINE_CLASSICAL,felzenszwalb,38,ok
IMG_02_TILE_001,BASELINE_CLASSICAL,felzenszwalb,23,ok
IMG_02_TILE_002,BASELINE_CLASSICAL,felzenszwalb,14,ok
IMG_02_TILE_003,BASELINE_CLASSICAL,felzenszwalb,52,ok
IMG_02_TILE_004,BASELINE_CLASSICAL,felzenszwalb,16,ok
IMG_02_TILE_005,BASELINE_CLASSICAL,felzenszwalb,15,ok
IMG_02_TILE_006,BASELINE_CLASSICAL,felzenszwalb,9,ok
IMG_02_TILE_007,BASELINE_CLASSICAL,felzenszwalb,5,ok
IMG_02_TILE_008,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_02_TILE_009,BASELINE_CLASSICAL,felzenszwalb,34,ok
IMG_04_TILE_001,BASELINE_CLASSICAL,felzenszwalb,28,ok
IMG_04_TILE_002,BASELINE_CLASSICAL,felzenszwalb,9,ok
IMG_04_TILE_003,BASELINE_CLASSICAL,felzenszwalb,53,ok
IMG_04_TILE_004,BASELINE_CLASSICAL,felzenszwalb,17,ok
IMG_04_TILE_005,BASELINE_CLASSICAL,felzenszwalb,24,ok
IMG_04_TILE_006,BASELINE_CLASSICAL,felzenszwalb,22,ok
IMG_04_TILE_007,BASELINE_CLASSICAL,felzenszwalb,14,ok
IMG_04_TILE_008,BASELINE_CLASSICAL,felzenszwalb,7,ok
IMG_04_TILE_009,BASELINE_CLASSICAL,felzenszwalb,35,ok
IMG_04_TILE_010,BASELINE_CLASSICAL,felzenszwalb,63,ok
IMG_04_TILE_011,BASELINE_CLASSICAL,felzenszwalb,45,ok
IMG_04_TILE_012,BASELINE_CLASSICAL,felzenszwalb,18,ok
IMG_04_TILE_013,BASELINE_CLASSICAL,felzenszwalb,22,ok
IMG_05_TILE_001,BASELINE_CLASSICAL,felzenszwalb,57,ok
IMG_05_TILE_002,BASELINE_CLASSICAL,felzenszwalb,10,ok
IMG_05_TILE_003,BASELINE_CLASSICAL,felzenszwalb,14,ok
IMG_05_TILE_004,BASELINE_CLASSICAL,felzenszwalb,27,ok
IMG_05_TILE_005,BASELINE_CLASSICAL,felzenszwalb,27,ok
IMG_05_TILE_006,BASELINE_CLASSICAL,felzenszwalb,37,ok
IMG_06_TILE_001,BASELINE_CLASSICAL,felzenszwalb,16,ok
IMG_06_TILE_002,BASELINE_CLASSICAL,felzenszwalb,11,ok
IMG_06_TILE_003,BASELINE_CLASSICAL,felzenszwalb,34,ok
IMG_07_TILE_001,BASELINE_CLASSICAL,felzenszwalb,10,ok
IMG_07_TILE_002,BASELINE_CLASSICAL,felzenszwalb,12,ok
IMG_07_TILE_003,BASELINE_CLASSICAL,felzenszwalb,21,ok
