feature,importance
AREA_KM2,0.29280752
PERI_AREA_RATIO,0.11712257
FG_BG_RAT_ARI,0.10030865
FG_MEAN,0.07301122
FG_DARK_INTENS,0.050449345
BG_MIN,0.039755836
BG_MEDIAN,0.030950213
BG_MEAN,0.029948445
FG_BG_RAT_QUA,0.028881349
FG_BG_MW_STAT,0.027491866
BG_STD,0.023906488
FG_MIN,0.023400582
CIRCULARITY,0.02276244
FG_MEDIAN,0.017141951
BG_MAX,0.015406791
BG_VAR_COEF,0.01397759
HU_MOM5,0.012016317
HU_MOM4,0.009899296
HU_MOM6,0.008808063
COMPLEX_MEAS,0.008482031
SPREAD,0.008162854
HU_MOM7,0.0070211557
FG_MAX,0.0067619677
FG_BG_KS_STAT,0.006552518
HU_MOM1,0.004938199
HU_MOM3,0.004754225
FG_VAR_COEF,0.0042301062
FG_STD,0.0038435548
HU_MOM2,0.0036133134
PERIM_KM,0.0035935063
SHP_FACT,0.0
FG_VAR,0.0
BG_VAR,0.0
FG_BG_KS_RES_DIFF,0.0
FG_BG_MW_RES_DIFF,0.0
